,0,class_label,target_label
387,0.07,0,1
388,0.97,0,1
389,0.811,0,1
390,0.579,0,1
391,0.116,0,1
392,0.725,0,1
393,0.551,0,1
394,0.186,0,1
395,0.871,0,1
396,0.462,0,1
397,0.852,0,1
398,0.731,0,1
399,0.354,0,1
400,0.836,0,1
401,0.833,0,1
402,0.865,0,1
403,0.734,0,1
404,0.802,0,1
405,0.604,0,1
406,0.731,0,1
407,0.074,0,1
408,0.645,0,1
409,0.279,0,1
410,0.034,0,1
411,0.208,0,1
412,0.929,0,1
413,0.71,0,1
414,0.322,0,1
415,0.446,0,1
416,0.848,0,1
417,0.968,0,1
418,0.905,0,1
419,0.781,0,1
420,0.787,0,1
421,0.743,0,1
422,0.805,0,1
423,0.631,0,1
424,0.706,0,1
425,0.773,0,1
426,0.596,0,1
427,0.839,0,1
428,0.379,0,1
429,0.694,0,1
430,0.484,0,1
431,0.812,0,1
432,0.703,0,1
433,0.912,0,1
434,0.745,0,1
435,0.667,0,1
436,0.519,0,1
437,0.779,0,1
438,0.472,0,1
439,0.665,0,1
440,0.569,0,1
441,0.346,0,1
442,0.745,0,1
443,0.728,0,1
444,0.484,0,1
445,0.482,0,1
446,0.395,0,1
447,0.908,0,1
448,0.735,0,1
449,0.923,0,1
450,0.705,0,1
451,0.614,0,1
452,0.698,0,1
453,0.47,0,1
454,0.644,0,1
455,0.5,0,1
456,0.848,0,1
457,0.736,0,1
458,0.769,0,1
459,0.291,0,1
460,0.175,0,1
461,0.85,0,1
462,0.353,0,1
463,0.52,0,1
464,0.978,0,1
465,0.644,0,1
466,0.65,0,1
467,0.757,0,1
468,0.649,0,1
469,0.592,0,1
470,0.538,0,1
471,0.391,0,1
472,0.218,0,1
473,0.531,0,1
474,0.695,0,1
475,0.721,0,1
476,0.848,0,1
477,0.863,0,1
478,0.83,0,1
479,0.829,0,1
480,0.681,0,1
481,0.803,0,1
482,0.698,0,1
483,0.876,0,1
484,0.81,0,1
485,0.365,0,1
486,0.745,0,1
487,0.516,0,1
488,0.574,0,1
489,0.649,0,1
490,0.731,0,1
491,0.537,0,1
492,0.94,0,1
493,0.774,0,1
494,0.81,0,1
495,0.454,0,1
496,0.589,0,1
497,0.501,0,1
498,0.752,0,1
499,0.618,0,1
500,0.336,0,1
501,0.699,0,1
502,0.437,0,1
503,0.837,0,1
504,0.63,0,1
505,0.433,0,1
506,0.871,0,1
507,0.81,0,1
508,0.487,0,1
509,0.714,0,1
510,0.057,0,1
511,0.368,0,1
512,0.465,0,1
513,0.436,0,1
514,0.338,0,1
515,0.777,0,1
516,0.583,0,1
517,0.723,0,1
518,0.784,0,1
519,0.758,0,1
520,0.681,0,1
521,0.268,0,1
522,0.378,0,1
523,0.812,0,1
524,0.768,0,1
525,0.51,0,1
526,0.825,0,1
527,0.682,0,1
528,0.72,0,1
529,0.671,0,1
530,0.622,0,1
531,0.695,0,1
532,0.875,0,1
533,0.781,0,1
534,0.834,0,1
535,0.852,0,1
536,0.69,0,1
537,0.683,0,1
538,0.596,0,1
539,0.596,0,1
540,0.82,0,1
541,0.751,0,1
542,0.861,0,1
543,0.564,0,1
544,0.847,0,1
545,0.288,0,1
546,0.835,0,1
547,0.4,0,1
548,0.383,0,1
549,0.746,0,1
550,0.604,0,1
551,0.354,0,1
552,0.056,0,1
553,0.489,0,1
554,0.072,0,1
555,0.702,0,1
556,0.806,0,1
557,0.945,0,1
558,0.889,0,1
559,0.762,0,1
560,0.791,0,1
561,0.381,0,1
562,0.834,0,1
563,0.703,0,1
564,0.107,0,1
565,0.643,0,1
566,0.752,0,1
567,0.432,0,1
568,0.726,0,1
569,0.818,0,1
570,0.259,0,1
571,0.736,0,1
572,0.512,0,1
573,0.536,0,1
574,0.105,0,1
575,0.363,0,1
576,0.591,0,1
